,tweet_id,favorites,retweets
108,871102520638267392,21121,5619
109,871032628920680449,22883,3899
110,870804317367881728,34005,6384
111,870726314365509632,120,3
112,870656317836468226,12581,2726
113,870374049280663552,83624,26968
114,870308999962521604,22071,4270
115,870063196459192321,37119,8604
116,869772420881756160,42946,10352
117,869702957897576449,28619,6526
118,869596645499047938,16207,3232
119,869227993411051520,20732,3915
120,868880397819494401,66608,14988
121,868639477480148993,0,2167
122,868622495443632128,27802,5959
123,868552278524837888,10345,2167
124,867900495410671616,24560,4322
125,867774946302451713,34557,7585
126,867421006826221569,16452,2609
127,867072653475098625,0,131
128,867051520902168576,32825,8172
129,866720684873056260,20491,5017
130,866686824827068416,19728,3625
131,866450705531457537,124578,36617
132,866334964761202691,53694,15063
133,866094527597207552,0,8702
134,865718153858494464,26147,5833
135,865359393868664832,27053,5218
136,865006731092295680,28604,8000
137,864873206498414592,33045,9112
138,864279568663928832,14950,3181
139,864197398364647424,30876,9362
140,863907417377173506,21111,4328
141,863553081350529029,15657,4358
142,863471782782697472,0,2591
143,863432100342583297,24362,5522
144,863427515083354112,2316,101
145,863079547188785154,8963,1153
146,863062471531167744,8763,2591
147,862831371563274240,19669,5315
148,862722525377298433,17510,3705
149,862457590147678208,21086,5207
150,862096992088072192,76637,24435
151,861383897657036800,37060,11225
152,861288531465048066,17674,4376
153,861005113778896900,17193,4001
154,860981674716409858,0,2268
155,860924035999428608,0,856
156,860563773140209665,7723,2268
157,860524505164394496,24291,5545
158,860276583193509888,18829,3653
159,860184849394610176,17172,6149
160,860177593139703809,0,32481
161,859924526012018688,20114,4309
162,859851578198683649,15847,3685
163,859607811541651456,19141,1657
164,859196978902773760,92802,31903
165,859074603037188101,34951,14368
166,858860390427611136,0,8571
167,858843525470990336,16039,3668
168,858471635011153920,22200,5113
169,858107933456039936,16237,3079
170,857989990357356544,16646,2730
171,857746408056729600,35389,11219
172,857393404942143489,6118,1726
173,857263160327368704,20669,4792
174,857214891891077121,238,20
175,857062103051644929,0,179
176,857029823797047296,19570,4243
177,856602993587888130,0,11319
178,856543823941562368,16862,3052
179,856526610513747968,12240,1999
180,856330835276025856,0,718
181,856288084350160898,535,17
182,856282028240666624,28651,6687
183,855862651834028034,362,28
184,855860136149123072,5115,1101
185,855857698524602368,12266,2248
186,855851453814013952,47107,18750
187,855818117272018944,27588,5786
188,855459453768019968,31115,8752
189,855245323840757760,0,6362
190,855138241867124737,0,49
191,854732716440526848,23765,6511
192,854482394044301312,30563,7357
193,854365224396361728,19685,5022
194,854120357044912130,33294,8024
195,854010172552949760,16878,3360
196,853760880890318849,29882,6220
197,853639147608842240,36501,10901
198,853299958564483072,16251,3823
199,852936405516943360,0,2174
200,852912242202992640,9470,1981
201,852672615818899456,15643,2311
202,852553447878664193,17170,3780
203,852311364735569921,34739,10666
204,852226086759018497,20977,7363
205,852189679701164033,12018,1703
206,851953902622658560,0,10405
207,851861385021730816,0,23
208,851591660324737024,17025,3737
209,851464819735769094,25518,7632
210,851224888060895234,21727,6186
211,850753642995093505,32718,10063
212,850380195714523136,13742,2825
213,850333567704068097,3591,361
214,850145622816686080,17210,4133
215,850019790995546112,21570,5312
216,849776966551130114,32123,8248
217,849668094696017920,0,5386
218,849412302885593088,16749,3399
219,849336543269576704,12061,2051
220,849051919805034497,44780,9264
221,848690551926992896,26640,4688
222,848324959059550208,26166,5003
223,848213670039564288,8644,814
224,848212111729840128,17289,3349
225,847978865427394560,0,3547
226,847971574464610304,0,467
227,847962785489326080,24846,5575
228,847842811428974592,5818,1468
229,847617282490613760,7424,457
230,847606175596138505,19847,3677
231,847251039262605312,21625,4659
232,847157206088847362,21180,6376
233,847116187444137987,22693,3479
234,846874817362120707,21285,4286
235,846514051647705089,47420,12668
236,846505985330044928,15014,3383
237,846153765933735936,33714,9882
238,846139713627017216,32703,10725
239,846042936437604353,16979,3141
240,845812042753855489,31116,9559
241,845677943972139009,26669,5223
242,845397057150107648,8102,1996
243,845306882940190720,24789,5889
244,845098359547420673,0,8404
